tag,num_rows,rss,uss,bytes,uss_row_size,hybrid_uss_row_size,bytes_row_size
atwork_subtour_frequency.simple_simulate,1920558,436617216,427950080,445569456,223,232,232
atwork_subtour_mode_choice.simple_simulate,804339,14401888256,2116243456,1711633392,2632,2632,2128
atwork_subtour_scheduling.tour_1,756193,520315523072,528426586112,219925680029,698799,698799,290833
atwork_subtour_scheduling.tour_n,48146,8851906560,8981118976,7345742108,186540,186540,152573
auto_ownership_simulate.simple_simulate,2123743,1104236544,1077223424,883477088,508,508,416
cdap.cdap,2123743,12101939200,12101615616,7645741588,5699,5699,3601
compute_accessibility,5922,206598668288,9721823232,21217400820,1641646,3582810,3582810
free_parking.simple_simulate,2815282,341331968,314408960,202700304,112,112,72
joint_tour_composition.simple_simulate,336137,142544896,141819904,69916496,422,422,208
joint_tour_frequency.simple_simulate,1237727,936267776,926982144,940672520,749,760,760
joint_tour_participation,297216,1649967104,1645744128,569371792,5538,5538,1916
joint_tour_scheduling.vectorize_joint_tour_scheduling.tour_1,297216,197993852928,205401866240,180416816719,691087,691087,607023
joint_tour_scheduling.vectorize_joint_tour_scheduling.tour_n,38921,17921171456,17969852416,16550533431,461701,461701,425235
mandatory_tour_frequency.simple_simulate,2922946,2442092544,2418679808,2408507504,828,828,824
mandatory_tour_scheduling.vectorize_tour_scheduling.tour_1.school,1004578,723006918656,720407265280,542591664782,717125,717125,540119
mandatory_tour_scheduling.vectorize_tour_scheduling.tour_1.univ,80191,63632896000,59648032768,43312682729,743825,743825,540119
mandatory_tour_scheduling.vectorize_tour_scheduling.tour_1.work,1838177,3049113825280,1339763298304,992834323063,728855,728855,540119
mandatory_tour_scheduling.vectorize_tour_scheduling.tour_n.school,16805,3476598784,3400298496,2673454882,202339,202339,159087
mandatory_tour_scheduling.vectorize_tour_scheduling.tour_n.univ,9423,2022301696,1910579200,1340605997,202757,202757,142270
mandatory_tour_scheduling.vectorize_tour_scheduling.tour_n.work,82381,15942234112,16364761088,9368997033,198648,198648,113728
non_mandatory_tour_frequency.PTYPE_DRIVING.interaction_simulate,182854,16879144960,16892862464,16851824640,92385,92385,92160
non_mandatory_tour_frequency.PTYPE_FULL.interaction_simulate,1884325,328427737088,342963011584,173659392000,182009,182009,92160
non_mandatory_tour_frequency.PTYPE_NONWORK.interaction_simulate,445517,44410642432,44695646208,41058846720,100324,100324,92160
non_mandatory_tour_frequency.PTYPE_PART.interaction_simulate,374997,48164794368,50754572288,34559723520,135347,135347,92160
non_mandatory_tour_frequency.PTYPE_PRESCHOOL.interaction_simulate,331909,48938754048,50937237504,30588733440,153468,153468,92160
non_mandatory_tour_frequency.PTYPE_RETIRED.interaction_simulate,259022,24163631104,24158367744,23871467520,93268,93268,92160
non_mandatory_tour_frequency.PTYPE_SCHOOL.interaction_simulate,724593,95861362688,102614761472,66778490880,141618,141618,92160
non_mandatory_tour_frequency.PTYPE_UNIVERSITY.interaction_simulate,174233,16300916736,16309420032,16057313280,93607,93607,92160
non_mandatory_tour_scheduling.vectorize_tour_scheduling.tour_1,1749872,1159121850368,1228327776256,371579846712,701953,701953,212347
non_mandatory_tour_scheduling.vectorize_tour_scheduling.tour_n,672594,422059933696,435348279296,71240377464,647268,647268,105919
parking_location.mandatory_free.trip_destination_simulate.interaction_sample_simulate,69373,2842128384,3480289280,3240412830,50168,50168,46710
parking_location.mandatory_pay.trip_destination_simulate.interaction_sample_simulate,108428,4601155584,8783527936,5064671880,81008,81008,46710
parking_location.nonmandatory.trip_destination_simulate.interaction_sample_simulate,146230,6347976704,8965222400,6830403300,61310,61310,46710
school_location.logsums,36667312,408175767552,79258415104,78028039936,2162,2162,2128
school_location.sample,1674508,190616059904,186534649856,157740380760,111397,111397,94202
school_location.simulate,1674508,5094342656,5026115584,3446727328,3002,3002,2059
stop_frequency.atwork.simple_simulate,804339,202186752,198279168,218780208,247,272,272
stop_frequency.eatout.simple_simulate,157013,4448256,3330048,50244160,22,320,320
stop_frequency.escort.simple_simulate,765522,194351104,191647744,208221984,251,272,272
stop_frequency.othdiscr.simple_simulate,550455,146935808,146202624,154127400,266,280,280
stop_frequency.othmaint.simple_simulate,496150,169426944,168419328,178614000,340,360,360
stop_frequency.school.simple_simulate,1021383,259293184,247226368,277816176,243,272,272
stop_frequency.shopping.simple_simulate,609502,186454016,180629504,195040640,297,320,320
stop_frequency.social.simple_simulate,179961,4997120,3407872,57587520,19,320,320
stop_frequency.univ.simple_simulate,89614,2551808,1282048,24375008,15,272,272
stop_frequency.work.simple_simulate,1920558,723468288,714117120,737494272,372,384,384
tour_destination.logsums,89676598,265199583232,193464778752,190831800544,2158,2158,2128
tour_destination.sample,3562942,1227836932096,1236967260160,1078530828225,347176,347176,302708
tour_destination.simulate,3562942,11922984960,11737006080,8626672175,3295,3295,2422
tour_mode_choice.eatout.simple_simulate,157013,7162052608,311422976,334123664,1984,2128,2128
tour_mode_choice.escort.simple_simulate,765522,17860808704,1739051008,1629030816,2272,2272,2128
tour_mode_choice.othdiscr.simple_simulate,550455,20407439360,1285439488,1171368240,2336,2336,2128
tour_mode_choice.othmaint.simple_simulate,496150,12454338560,1283936256,1055807200,2588,2588,2128
tour_mode_choice.school.simple_simulate,1021383,4748795904,2263236608,2173503024,2216,2216,2128
tour_mode_choice.shopping.simple_simulate,609502,9037840384,1277530112,1297020256,2097,2128,2128
tour_mode_choice.social.simple_simulate,179961,8325447680,607494144,382957008,3376,3376,2128
tour_mode_choice.univ.simple_simulate,89614,859783168,145154048,190698592,1620,2128,2128
tour_mode_choice.work.simple_simulate,1920558,24919756800,4428529664,4086947424,2306,2306,2128
trip_departure_choice,6594324,8721891328,85837598720,5540854720,13017,13017,841
trip_destination.compute_logsums,249374750,865010991104,450935324672,446879552000,1809,1809,1792
trip_destination.sample,5548195,4844905050112,4812697796608,6808560489486,867435,1227167,1227167
trip_destination.simulate,5548109,28030640128,27410997248,23839122288,4941,4941,4297
trip_mode_choice.atwork.simple_simulate,2062851,3793907712,3724156928,3696628992,1806,1806,1792
trip_mode_choice.eatout.simple_simulate,407379,873299968,733483008,730023168,1801,1801,1792
trip_mode_choice.escort.simple_simulate,1875486,3928657920,3394088960,3360870912,1810,1810,1792
trip_mode_choice.othdiscr.simple_simulate,1406945,3482710016,2573910016,2521245440,1830,1830,1792
trip_mode_choice.othmaint.simple_simulate,1452667,3289911296,2618085376,2603179264,1803,1803,1792
