a,start,end,duration
1,1,1,1
2,1,2,2
3,1,3,3
4,1,4,4
5,1,5,5
6,1,6,6
7,1,7,7
8,1,8,8
9,1,9,9
10,1,10,10
11,1,11,11
12,1,12,12
13,1,13,13
14,1,14,14
15,1,15,15
16,1,16,16
17,1,17,17
18,1,18,18
19,1,19,19
20,1,20,20
21,1,21,21
22,1,22,22
23,1,23,23
24,1,24,24
25,1,25,25
26,1,26,26
27,1,27,27
28,1,28,28
29,1,29,29
30,1,30,30
31,1,31,31
32,1,32,32
33,1,33,33
34,1,34,34
35,1,35,35
36,1,36,36
37,1,37,37
38,1,38,38
39,1,39,39
40,1,40,40
41,1,41,41
42,1,42,42
43,1,43,43
44,1,44,44
45,1,45,45
46,1,46,46
47,1,47,47
48,1,48,48
49,2,2,1
50,2,3,2
51,2,4,3
52,2,5,4
53,2,6,5
54,2,7,6
55,2,8,7
56,2,9,8
57,2,10,9
58,2,11,10
59,2,12,11
60,2,13,12
61,2,14,13
62,2,15,14
63,2,16,15
64,2,17,16
65,2,18,17
66,2,19,18
67,2,20,19
68,2,21,20
69,2,22,21
70,2,23,22
71,2,24,23
72,2,25,24
73,2,26,25
74,2,27,26
75,2,28,27
76,2,29,28
77,2,30,29
78,2,31,30
79,2,32,31
80,2,33,32
81,2,34,33
82,2,35,34
83,2,36,35
84,2,37,36
85,2,38,37
86,2,39,38
87,2,40,39
88,2,41,40
89,2,42,41
90,2,43,42
91,2,44,43
92,2,45,44
93,2,46,45
94,2,47,46
95,2,48,47
96,3,3,1
97,3,4,2
98,3,5,3
99,3,6,4
100,3,7,5
101,3,8,6
102,3,9,7
103,3,10,8
104,3,11,9
105,3,12,10
106,3,13,11
107,3,14,12
108,3,15,13
109,3,16,14
110,3,17,15
111,3,18,16
112,3,19,17
113,3,20,18
114,3,21,19
115,3,22,20
116,3,23,21
117,3,24,22
118,3,25,23
119,3,26,24
120,3,27,25
121,3,28,26
122,3,29,27
123,3,30,28
124,3,31,29
125,3,32,30
126,3,33,31
127,3,34,32
128,3,35,33
129,3,36,34
130,3,37,35
131,3,38,36
132,3,39,37
133,3,40,38
134,3,41,39
135,3,42,40
136,3,43,41
137,3,44,42
138,3,45,43
139,3,46,44
140,3,47,45
141,3,48,46
142,4,4,1
143,4,5,2
144,4,6,3
145,4,7,4
146,4,8,5
147,4,9,6
148,4,10,7
149,4,11,8
150,4,12,9
151,4,13,10
152,4,14,11
153,4,15,12
154,4,16,13
155,4,17,14
156,4,18,15
157,4,19,16
158,4,20,17
159,4,21,18
160,4,22,19
161,4,23,20
162,4,24,21
163,4,25,22
164,4,26,23
165,4,27,24
166,4,28,25
167,4,29,26
168,4,30,27
169,4,31,28
170,4,32,29
171,4,33,30
172,4,34,31
173,4,35,32
174,4,36,33
175,4,37,34
176,4,38,35
177,4,39,36
178,4,40,37
179,4,41,38
180,4,42,39
181,4,43,40
182,4,44,41
183,4,45,42
184,4,46,43
185,4,47,44
186,4,48,45
187,5,5,1
188,5,6,2
189,5,7,3
190,5,8,4
191,5,9,5
192,5,10,6
193,5,11,7
194,5,12,8
195,5,13,9
196,5,14,10
197,5,15,11
198,5,16,12
199,5,17,13
200,5,18,14
201,5,19,15
202,5,20,16
203,5,21,17
204,5,22,18
205,5,23,19
206,5,24,20
207,5,25,21
208,5,26,22
209,5,27,23
210,5,28,24
211,5,29,25
212,5,30,26
213,5,31,27
214,5,32,28
215,5,33,29
216,5,34,30
217,5,35,31
218,5,36,32
219,5,37,33
220,5,38,34
221,5,39,35
222,5,40,36
223,5,41,37
224,5,42,38
225,5,43,39
226,5,44,40
227,5,45,41
228,5,46,42
229,5,47,43
230,5,48,44
231,6,6,1
232,6,7,2
233,6,8,3
234,6,9,4
235,6,10,5
236,6,11,6
237,6,12,7
238,6,13,8
239,6,14,9
240,6,15,10
241,6,16,11
242,6,17,12
243,6,18,13
244,6,19,14
245,6,20,15
246,6,21,16
247,6,22,17
248,6,23,18
249,6,24,19
250,6,25,20
251,6,26,21
252,6,27,22
253,6,28,23
254,6,29,24
255,6,30,25
256,6,31,26
257,6,32,27
258,6,33,28
259,6,34,29
260,6,35,30
261,6,36,31
262,6,37,32
263,6,38,33
264,6,39,34
265,6,40,35
266,6,41,36
267,6,42,37
268,6,43,38
269,6,44,39
270,6,45,40
271,6,46,41
272,6,47,42
273,6,48,43
274,7,7,1
275,7,8,2
276,7,9,3
277,7,10,4
278,7,11,5
279,7,12,6
280,7,13,7
281,7,14,8
282,7,15,9
283,7,16,10
284,7,17,11
285,7,18,12
286,7,19,13
287,7,20,14
288,7,21,15
289,7,22,16
290,7,23,17
291,7,24,18
292,7,25,19
293,7,26,20
294,7,27,21
295,7,28,22
296,7,29,23
297,7,30,24
298,7,31,25
299,7,32,26
300,7,33,27
301,7,34,28
302,7,35,29
303,7,36,30
304,7,37,31
305,7,38,32
306,7,39,33
307,7,40,34
308,7,41,35
309,7,42,36
310,7,43,37
311,7,44,38
312,7,45,39
313,7,46,40
314,7,47,41
315,7,48,42
316,8,8,1
317,8,9,2
318,8,10,3
319,8,11,4
320,8,12,5
321,8,13,6
322,8,14,7
323,8,15,8
324,8,16,9
325,8,17,10
